"Lon";"Lat";"scientificName";"year";"month";"day";"accessRights";"bibliographicCitation";"name_sort";"X_leaflet_id";"layerId";"edit_id"
"27";-8.216429;40.210071;"Quercus lusitanica Lam.";2025;10;17;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"28";-8.203488;40.228282;"Quercus lusitanica Lam.";2025;10;19;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"29";-8.203607;40.228072;"Quercus lusitanica Lam.";2025;10;19;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"30";-8.426833;39.094956;"Quercus lusitanica Lam.";2025;10;26;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"31";-8.203627;40.228065;"Quercus lusitanica Lam.";2025;10;19;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"32";-5.341277;36.20438;"Quercus lusitanica Lam.";2025;10;26;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Spain";305;"305";"305"
"33";-7.918985;37.187775;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"34";-7.918988;37.187912;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"35";-7.918716;37.187627;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"36";-7.91877;37.188;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"37";-7.918928;37.187859;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"38";-7.918935;37.187748;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"39";-7.918877;37.187982;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"40";-7.918729;37.187588;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"41";-7.918694;37.187602;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"42";-7.918832;37.187962;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"43";-7.918917;37.188001;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"44";-7.918927;37.187747;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"45";-7.918221;37.187817;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"46";-7.918194;37.187722;"Quercus lusitanica Lam.";2025;11;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"47";-8.56685;39.23348;"Quercus lusitanica Lam.";2025;11;28;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"48";-8.580098;39.237481;"Quercus lusitanica Lam.";2025;11;30;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"49";-8.775089;38.851103;"Quercus lusitanica Lam.";2025;11;27;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"50";-8.805749;39.318813;"Quercus lusitanica Lam.";2025;12;28;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"51";-8.983821;39.103776;"Quercus lusitanica Lam.";2025;12;7;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"52";-8.227297;40.25691;"Quercus lusitanica Lam.";2024;3;26;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"53";-8.403959;40.233563;"Quercus lusitanica Lam.";2024;3;26;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"54";-8.133344;40.227669;"Quercus lusitanica Lam.";2024;3;21;"http://creativecommons.org/licenses/by/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"55";-5.606426;36.513562;"Quercus lusitanica Lam.";2024;4;13;"http://creativecommons.org/licenses/by/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Spain";305;"305";"305"
