"PA";"Lon";"Lat"
1;-38.125;-12.7916666666667
1;-38.875;-14.375
1;-39.125;-17.7083333333333
1;-36.875;-17.125
1;-38.0416666666667;-17.7916666666667
1;-37.625;-12.2916666666667
1;-37.875;-19.125
1;-35.2083333333333;-5.45833333333333
1;-38.0416666666667;-12.625
1;-38.7083333333333;-17.375
1;-40.375;-2.54166666666666
1;-38.7083333333333;-16.2916666666667
1;-38.875;-3.45833333333333
1;-37.2916666666667;-17.9583333333333
1;-37.875;-19.0416666666667
1;-34.7916666666667;-8.375
1;-37.7916666666667;-12.5416666666667
1;-39.2083333333333;-18.375
1;-37.7916666666667;-12.375
1;-34.7083333333333;-8.375
1;-37.875;-17.7916666666667
1;-38.7083333333333;-18.7083333333333
1;-34.9583333333333;-20.7083333333333
1;-40.2083333333333;-2.29166666666666
1;-38.7083333333333;-3.54166666666666
1;-36.2916666666667;-5.125
1;-38.0416666666667;-17.9583333333333
1;-38.2916666666667;-3.79166666666666
1;-38.7083333333333;-18.7916666666667
1;-34.7916666666667;-6.79166666666666
1;-34.875;-8.79166666666666
1;-38.125;-17.5416666666667
1;-37.7083333333333;-18.0416666666667
1;-40.375;-2.29166666666666
1;-36.875;-17.0416666666667
1;-38.7083333333333;-15.4583333333333
1;-38.7916666666667;-15.7083333333333
1;-38.7083333333333;-15.5416666666667
1;-34.875;-8.125
1;-38.5416666666667;-19.125
1;-38.9583333333333;-17.375
1;-34.7916666666667;-6.625
1;-39.0416666666667;-3.29166666666666
1;-39.125;-16.875
1;-37.375;-20.5416666666667
1;-34.7083333333333;-7.70833333333333
1;-38.7916666666667;-19.2916666666667
1;-38.875;-18.5416666666667
1;-38.7083333333333;-19.375
1;-38.2916666666667;-19.4583333333333
1;-39.4583333333333;-18.4583333333333
1;-38.7083333333333;-15.375
1;-38.0416666666667;-19.5416666666667
1;-39.125;-17.2916666666667
1;-39.0416666666667;-18.2916666666667
1;-38.7083333333333;-13.625
1;-39.5416666666667;-19.7916666666667
1;-38.0416666666667;-19.875
1;-38.5416666666667;-19.4583333333333
1;-37.375;-17.9583333333333
1;-39.2083333333333;-19.5416666666667
1;-39.2916666666667;-19.2916666666667
1;-39.125;-17.625
1;-40.0416666666667;-2.625
0;-56.0416666666667;6.875
0;-54.2916666666667;-34.7916666666667
0;-51.625;5.125
0;-62.5416666666667;-41.9583333333333
0;-50.7083333333333;-32.9583333333333
0;-40.4583333333333;-21.875
0;-54.7083333333333;-35.5416666666667
0;-61.2916666666667;-39.2916666666667
0;-35.9583333333333;-4.95833333333333
0;-40.625;-21.0416666666667
0;-58.625;-40.125
0;-61.2916666666667;-40.2916666666667
0;-56.2083333333333;-39.7083333333333
0;-58.9583333333333;-40.7916666666667
0;-44.9583333333333;-23.5416666666667
0;-49.7083333333333;1.625
0;-53.875;-34.875
0;-55.9583333333333;-36.4583333333333
0;-57.375;6.625
0;-58.875;8.625
0;-59.125;-39.875
0;-60.0416666666667;-39.9583333333333
0;-52.125;-33.7083333333333
0;-41.4583333333333;-23.4583333333333
0;-43.375;-1.45833333333333
0;-48.125;-25.7916666666667
0;-51.7083333333333;-32.0416666666667
0;-54.0416666666667;-35.4583333333333
0;-48.7083333333333;-29.375
0;-54.7916666666667;-36.375
0;-49.4583333333333;-30.2916666666667
0;-53.375;5.625
0;-53.4583333333333;5.79166666666667
0;-56.125;-37.0416666666667
0;-46.7916666666667;1.20833333333334
0;-49.4583333333333;1.375
0;-49.375;-29.0416666666667
0;-51.375;-32.2083333333333
0;-45.2916666666667;-1.29166666666666
0;-58.375;-41.0416666666667
0;-58.875;8.125
0;-58.125;6.875
0;-49.2083333333333;1.45833333333334
0;-57.7916666666667;-38.625
0;-59.625;8.54166666666667
0;-60.2083333333333;-40.125
0;-53.2916666666667;6.95833333333334
0;-47.625;0.458333333333336
0;-49.0416666666667;1.625
0;-50.0416666666667;3.875
