id	institutionCode	datasetName	eventID	eventDate	locationID	countryCode	locality	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters
Santa Maria island_2018-08-29T17:32:15	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T17:32:15	2018-08-29T17:32:15	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.05	2000m
Santa Maria island_2018-08-29T17:32:45	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T17:32:45	2018-08-29T17:32:45	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.05	2000m
Santa Maria island_2018-08-29T17:33:48	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T17:33:48	2018-08-29T17:33:48	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.05	2000m
Santa Maria island_2018-08-29T17:38:52	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T17:38:52	2018-08-29T17:38:52	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.05	2000m
Santa Maria island_2018-08-29T18:56:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T18:56:00	2018-08-29T18:56:00	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-08-29T19:08:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T19:08:00	2018-08-29T19:08:00	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-08-29T19:11:59	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T19:11:59	2018-08-29T19:11:59	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-08-29T19:12:08	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T19:12:08	2018-08-29T19:12:08	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-08-29T19:31:09	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T19:31:09	2018-08-29T19:31:09	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-08-29T19:31:40	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T19:31:40	2018-08-29T19:31:40	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-08-29T19:31:51	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-29T19:31:51	2018-08-29T19:31:51	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-08-30T14:38:09	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T14:38:09	2018-08-30T14:38:09	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-08-30T14:38:40	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T14:38:40	2018-08-30T14:38:40	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-08-30T15:53:26	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:53:26	2018-08-30T15:53:26	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
Santa Maria island_2018-08-30T15:53:56	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:53:56	2018-08-30T15:53:56	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
Santa Maria island_2018-08-30T15:54:13	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:54:13	2018-08-30T15:54:13	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
Santa Maria island_2018-08-30T15:54:30	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:54:30	2018-08-30T15:54:30	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
Santa Maria island_2018-08-30T15:54:49	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:54:49	2018-08-30T15:54:49	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
Santa Maria island_2018-08-30T15:55:15	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:55:15	2018-08-30T15:55:15	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
Santa Maria island_2018-08-30T15:55:48	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:55:48	2018-08-30T15:55:48	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
Santa Maria island_2018-08-30T15:56:00	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:56:00	2018-08-30T15:56:00	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
Santa Maria island_2018-08-30T15:56:32	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:56:32	2018-08-30T15:56:32	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
Santa Maria island_2018-08-30T15:56:41	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:56:41	2018-08-30T15:56:41	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
